,year,site,plot,Pool,Seed.density,alpha.hill1,beta.tot
1,2018,Airstrip,1,Low diversity,700,2.795983322,0.356733555
2,2018,Airstrip,10,High diversity,700,2.08677944,0.496591484
3,2018,Airstrip,11,High diversity,700,3.586900308,0.36461132
4,2018,Airstrip,12,Low diversity,485,2.941713421,0.444826719
5,2018,Airstrip,13,Low diversity,485,1.472869259,0.434217426
6,2018,Airstrip,14,High diversity,270,1,0.637561318
7,2018,Airstrip,15,High diversity,270,1.987926285,0.610762694
8,2018,Airstrip,16,Low diversity,970,2.136003955,0.288293107
9,2018,Airstrip,17,High diversity,970,5.059459634,0.350513157
10,2018,Airstrip,18,High diversity,485,3.203012363,0.65575874
11,2018,Airstrip,19,Low diversity,270,1,0.311545944
12,2018,Airstrip,2,High diversity,700,3.155224647,0.371442273
13,2018,Airstrip,20,High diversity,485,1.057117723,0.435757067
14,2018,Airstrip,21,High diversity,970,3.432576679,0.544992009
15,2018,Airstrip,22,High diversity,485,1,0.475927224
16,2018,Airstrip,23,Low diversity,270,1.10131945,0.813466848
17,2018,Airstrip,24,High diversity,700,2.211630564,0.568519212
18,2018,Airstrip,25,High diversity,970,5.352016127,0.107349991
19,2018,Airstrip,26,Low diversity,970,1.754765351,0.368088759
20,2018,Airstrip,27,Low diversity,270,1,0.302533167
21,2018,Airstrip,28,Low diversity,700,1.356131413,0.5549825
22,2018,Airstrip,29,High diversity,270,1,0.639905508
23,2018,Airstrip,3,Low diversity,700,1.210997115,0.524206703
24,2018,Airstrip,30,High diversity,970,6.52161377,0.359315782
25,2018,Airstrip,31,High diversity,485,2.828427125,0.670667553
26,2018,Airstrip,32,High diversity,700,1.937819241,0.3173306
27,2018,Airstrip,33,Low diversity,970,2.294520046,0.568119538
28,2018,Airstrip,34,Low diversity,700,2.343356384,0.215256916
29,2018,Airstrip,35,Low diversity,485,1,0.740225278
30,2018,Airstrip,36,Low diversity,700,2.068867513,0.428528781
31,2018,Airstrip,37,Low diversity,970,1,0.470032044
32,2018,Airstrip,38,High diversity,270,3.637937023,0.631118778
33,2018,Airstrip,39,Low diversity,970,1.356131413,0.383715091
34,2018,Airstrip,40,High diversity,700,1.889881575,0.756437877
35,2018,Airstrip,41,Low diversity,270,1.754765351,0.118101522
36,2018,Airstrip,42,High diversity,270,1,0.614316265
37,2018,Airstrip,43,High diversity,970,3.694315421,0.724369839
38,2018,Airstrip,44,Low diversity,485,2,0.435031085
39,2018,Airstrip,45,Low diversity,970,1.744812157,0.446442498
40,2018,Airstrip,46,Low diversity,485,1,0.61763224
41,2018,Airstrip,47,High diversity,485,2.58640929,0.684185426
42,2018,Airstrip,48,High diversity,970,3.458482763,0.389652616
43,2018,Airstrip,5,High diversity,485,2.546627406,0.328231604
44,2018,Airstrip,6,Low diversity,485,1,0.364366493
45,2018,Airstrip,8,Low diversity,700,1.754765351,0.539038022
46,2018,Airstrip,9,Low diversity,270,1,0.79683399
47,2018,Aspen,11,Low diversity,970,1,0.361071764
48,2018,Aspen,12,High diversity,485,1,0.427234898
49,2018,Aspen,13,Low diversity,970,1,0.681629571
50,2018,Aspen,14,High diversity,970,2.552027924,0.479006314
51,2018,Aspen,15,Low diversity,700,1.818968512,0.435015315
52,2018,Aspen,16,High diversity,270,1,0.784196348
53,2018,Aspen,17,High diversity,700,1.436501376,0.630941864
54,2018,Aspen,18,High diversity,270,1.663855241,0.4222687
55,2018,Aspen,19,High diversity,970,1.937819241,0.648986441
56,2018,Aspen,2,Low diversity,970,1,0.693859246
57,2018,Aspen,20,Low diversity,270,1,0.193010913
58,2018,Aspen,21,High diversity,270,1,0.164910613
59,2018,Aspen,22,High diversity,270,2,0.595929805
60,2018,Aspen,23,Low diversity,485,1,0.461688267
61,2018,Aspen,24,Low diversity,485,1,0.60252887
62,2018,Aspen,25,Low diversity,970,1,0.492449555
63,2018,Aspen,26,Low diversity,485,1,0.429821487
64,2018,Aspen,27,High diversity,700,3.746748298,0.648281738
65,2018,Aspen,28,High diversity,485,2.564334756,0
66,2018,Aspen,29,High diversity,970,1.754765351,0.570082613
67,2018,Aspen,3,High diversity,485,2.806169658,0.66677581
68,2018,Aspen,30,Low diversity,970,1,0.376379373
69,2018,Aspen,32,High diversity,970,1.649384888,0.51469034
70,2018,Aspen,33,High diversity,270,1,0.196457301
71,2018,Aspen,34,Low diversity,485,1.960131704,0.314264952
72,2018,Aspen,35,Low diversity,970,2.460232976,0
73,2018,Aspen,37,High diversity,485,1,0.67013988
74,2018,Aspen,38,Low diversity,700,1,0.514346486
75,2018,Aspen,39,High diversity,700,5.626096277,0.39196482
76,2018,Aspen,4,Low diversity,270,1,0.879329751
77,2018,Aspen,40,Low diversity,270,1,0.19187843
78,2018,Aspen,41,High diversity,700,1.195420655,0.479852133
79,2018,Aspen,43,High diversity,700,1,0.505411485
80,2018,Aspen,44,Low diversity,700,1,0
81,2018,Aspen,45,High diversity,700,1,0.676174184
82,2018,Aspen,46,High diversity,970,4.860268825,0.482959005
83,2018,Aspen,47,High diversity,970,3.681699777,0.535231142
84,2018,Aspen,48,Low diversity,700,1.569192583,0.607089758
85,2018,Aspen,6,Low diversity,700,1,0
86,2018,Aspen,8,High diversity,485,1.97962633,0.426672968
87,2018,Aspen,9,Low diversity,485,1,0.682647479
88,2018,Concolor,10,High diversity,970,3.440385802,0.449221023
89,2018,Concolor,13,High diversity,970,1,0.57236643
90,2018,Concolor,14,Low diversity,700,1,0.422253374
91,2018,Concolor,15,High diversity,270,1,0.577712676
92,2018,Concolor,17,High diversity,700,1.97962633,0.358018656
93,2018,Concolor,18,Low diversity,485,1,0.286830293
94,2018,Concolor,20,Low diversity,485,1.987666975,0.321334381
95,2018,Concolor,21,High diversity,485,1.960131704,0.61236976
96,2018,Concolor,22,High diversity,970,3,0.432546635
97,2018,Concolor,24,High diversity,970,2,0.719531508
98,2018,Concolor,25,High diversity,700,2.608282241,0.672278432
99,2018,Concolor,26,Low diversity,485,1.761359121,0.33169331
100,2018,Concolor,27,Low diversity,970,2.428347543,0.286459896
101,2018,Concolor,28,High diversity,270,1,0.576821091
102,2018,Concolor,29,High diversity,485,1.569192583,0.449216755
103,2018,Concolor,30,Low diversity,700,3.637937023,0.487849032
104,2018,Concolor,31,High diversity,485,1,0.692526216
105,2018,Concolor,32,Low diversity,700,3.070330816,0.541594088
106,2018,Concolor,33,High diversity,700,1,0.431286988
107,2018,Concolor,34,Low diversity,485,3.21854476,0.414142555
108,2018,Concolor,35,High diversity,485,1,0.69116276
109,2018,Concolor,36,Low diversity,700,1.569192583,0.37942505
110,2018,Concolor,38,Low diversity,700,2,0.311944434
111,2018,Concolor,39,Low diversity,700,1.405649929,0.316907774
112,2018,Concolor,4,Low diversity,970,1.569192583,0.537248103
113,2018,Concolor,41,Low diversity,270,1,0.166666667
114,2018,Concolor,42,Low diversity,270,1,0.166666667
115,2018,Concolor,43,Low diversity,970,2.25532359,0.333000402
116,2018,Concolor,44,High diversity,970,6.046575147,0.220787044
117,2018,Concolor,45,High diversity,700,2.217347452,0.618201117
118,2018,Concolor,47,Low diversity,970,1.848258738,0.242021217
119,2018,Concolor,48,High diversity,485,2,0.524754315
120,2018,Concolor,5,High diversity,700,1.716357208,0.521375464
121,2018,Concolor,6,Low diversity,970,1,0.686048657
122,2018,Concolor,7,High diversity,970,1.569192583,0.63219267
123,2018,Concolor,8,High diversity,270,1,0.576182869
124,2018,Crooked Tongue,1,High diversity,485,2.418097195,0.622653437
125,2018,Crooked Tongue,10,Low diversity,970,1.234027749,0.646763994
126,2018,Crooked Tongue,11,Low diversity,270,1.079991553,0.590640424
127,2018,Crooked Tongue,12,High diversity,485,1.691566028,0.543358516
128,2018,Crooked Tongue,13,High diversity,270,2.460232976,0.677108856
